Vernier Format 2
forsok_23.txt 8/22/2022 13:45:26
Run 1
Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration	
T	P	V	A	P	V	A	
s	m	m/s	m/s^2	m	m/s	m/s^2	

0.00	1.4360	0.026	0.149	0.936	0.011	0.172	
0.05	1.4370	0.033	0.156	0.936	0.023	0.130	
0.10	1.4390	0.041	0.165	0.939	0.021	0.144	
0.15	1.4410	0.049	0.180	0.937	0.033	0.231	
0.20	1.4440	0.058	0.217	0.942	0.049	0.265	
0.25	1.4470	0.067	0.339	0.943	0.056	0.356	
0.30	1.4500	0.088	0.516	0.947	0.080	0.504	
0.35	1.4550	0.125	0.560	0.950	0.111	0.576	
0.40	1.4630	0.153	0.427	0.957	0.144	0.525	
0.45	1.4710	0.168	0.261	0.965	0.168	0.369	
0.50	1.4800	0.177	0.128	0.975	0.183	0.171	
0.55	1.4890	0.179	0.037	0.984	0.182	0.032	
0.60	1.4980	0.179	-0.015	0.993	0.181	-0.017	
0.65	1.5070	0.178	-0.055	1.002	0.179	-0.041	
0.70	1.5160	0.172	-0.057	1.011	0.177	-0.045	
0.75	1.5240	0.171	-0.031	1.020	0.174	-0.037	
0.80	1.5330	0.170	-0.022	1.028	0.173	-0.027	
0.85	1.5410	0.169	-0.032	1.037	0.172	-0.032	
0.90	1.5500	0.168	-0.060	1.045	0.170	-0.036	
0.95	1.5580	0.162	-0.068	1.054	0.169	-0.047	
1.00	1.5660	0.160	-0.059	1.062	0.165	-0.060	
1.05	1.5740	0.158	-0.068	1.071	0.162	-0.055	
1.10	1.5820	0.152	-0.060	1.078	0.161	-0.077	
1.15	1.5890	0.151	-0.032	1.087	0.157	-0.132	
1.20	1.5970	0.150	-0.024	1.095	0.143	-0.105	
1.25	1.6040	0.149	-0.043	1.101	0.141	0.024	
1.30	1.6120	0.147	-0.090	1.108	0.150	0.088	
1.35	1.6190	0.140	-0.137	1.116	0.153	0.066	
1.40	1.6260	0.132	-0.185	1.123	0.156	0.006	
1.45	1.6320	0.126	-0.350	1.131	0.161	-0.212	
1.50	1.6390	0.108	-0.734	1.140	0.147	-0.648	
1.55	1.6440	0.061	-1.241	1.148	0.091	-0.977	
1.60	1.6470	-0.025	-1.538	1.150	0.034	-0.983	
1.65	1.6420	-0.119	-1.317	1.151	-0.019	-0.714	
1.70	1.6330	-0.172	-0.764	1.146	-0.043	-0.340	
1.75	1.6230	-0.188	-0.315	1.146	-0.041	-0.195	
1.80	1.6140	-0.192	-0.100	1.143	-0.054	-0.203	
1.85	1.6040	-0.195	0.015	1.140	-0.064	-0.165	
1.90	1.5940	-0.189	0.084	1.137	-0.078	-0.019	
1.95	1.5850	-0.183	0.076	1.131	-0.065	0.103	
2.00	1.5760	-0.181	0.040	1.131	-0.053	-0.026	
2.05	1.5670	-0.180	0.026	1.127	-0.074	-0.047	
